Hurricane,area_fips,own_code,industry_code,agglvl_code,size_code,year,qtr,qtrly_estabs,month1_emplvl,month2_emplvl,month3_emplvl,total_qtrly_wages,taxable_qtrly_wages,qtrly_contributions,avg_wkly_wage,lq_qtrly_estabs,lq_month1_emplvl,lq_month2_emplvl,lq_month3_emplvl,lq_total_qtrly_wages,lq_taxable_qtrly_wages,lq_qtrly_contributions,lq_avg_wkly_wage,oty_qtrly_estabs_chg,oty_qtrly_estabs_pct_chg,oty_month1_emplvl_chg,oty_month1_emplvl_pct_chg,oty_month2_emplvl_chg,oty_month2_emplvl_pct_chg,oty_month3_emplvl_chg,oty_month3_emplvl_pct_chg,oty_total_qtrly_wages_chg,oty_total_qtrly_wages_pct_chg,oty_taxable_qtrly_wages_chg,oty_taxable_qtrly_wages_pct_chg,oty_qtrly_contributions_chg,oty_qtrly_contributions_pct_chg,oty_avg_wkly_wage_chg,oty_avg_wkly_wage_pct_chg
Irma,12071,3,10,71,0,2017,1,55,34368,34519,34795,447641338,1023981,1487,996,0.15,1.33,1.32,1.32,1.87,0.08,0.03,1.41,-1,-1.8,66,0.2,99,0.3,163,0.5,25773781,6.1,9913,1,-912,-38,54,5.7
Irma,12071,5,10,71,0,2017,1,21341,214612,216408,217789,2253020288,1160228959,11085812,801,1.02,0.99,0.99,0.99,0.94,1.01,1.01,0.95,867,4.2,4442,2.1,4973,2.4,5284,2.5,236198075,11.7,52065281,4.7,-4021409,-26.6,67,9.1
Irma,12071,0,10,70,0,2017,2,21841,258506,256774,247546,2740343239,313422647,3078841,829,1,1,1,1,1,1,1,1,958,4.6,4630,1.8,5585,2.2,5527,2.3,141746936,5.5,-15145923,-4.6,-1329210,-30.2,26,3.2
Irma,12071,1,10,71,0,2017,2,55,2411,2442,2284,38700086,0,0,1251,0.41,0.48,0.49,0.48,0.49,0,0,1.01,2,3.8,-25,-1,-9,-0.4,-169,-6.9,1573255,4.2,0,0,0,0,84,7.2
Irma,12071,2,10,71,0,2017,2,71,5375,5272,4859,56452532,0,0,840,0.46,0.64,0.64,0.62,0.59,0,0,0.93,1,1.4,1183,28.2,1175,28.7,965,24.8,6710468,13.5,0,0,0,0,-102,-10.8
Irma,12071,3,10,71,0,2017,2,55,34742,34982,28708,505544585,921817,1322,1185,0.15,1.34,1.36,1.19,1.93,0.18,0.08,1.49,-1,-1.8,19,0.1,310,0.9,226,0.8,39005364,8.4,39906,4.5,-749,-36.2,85,7.7
Irma,12071,5,10,71,0,2017,2,21660,215978,214078,211695,2139646036,312500830,3077519,769,1.02,0.99,0.98,1,0.93,1.02,1.01,0.94,956,4.6,3453,1.6,4109,2,4505,2.2,94457849,4.6,-15185829,-4.6,-1328461,-30.2,19,2.5
Irma,12071,0,10,70,0,2017,3,21563,245689,252308,239580,2585624839,208967298,2010180,809,1,1,1,1,1,1,1,1,331,1.6,5524,2.3,6622,2.7,-8308,-3.4,22829442,0.9,-1411347,-0.7,-825568,-29.1,3,0.4
Irma,12071,1,10,71,0,2017,3,55,2271,2291,2312,41985607,0,0,1410,0.42,0.47,0.47,0.5,0.55,0,0,1.15,1,1.9,-159,-6.5,-182,-7.4,-161,-6.5,-1162065,-2.7,0,0,0,0,60,4.4
Irma,12071,2,10,71,0,2017,3,72,4846,4880,5327,61652566,0,0,945,0.47,0.62,0.61,0.69,0.66,0,0,1.04,2,2.9,970,25,1010,26.1,1183,28.5,11247323,22.3,0,0,0,0,-33,-3.4
Irma,12071,3,10,71,0,2017,3,54,28676,34394,34360,402922584,935530,1403,954,0.15,1.37,1.53,1.47,1.86,0.27,0.13,1.28,-2,-3.6,263,0.9,383,1.1,-108,-0.3,25785735,6.8,-50419,-5.1,-952,-40.4,56,6.2
Irma,12071,5,10,71,0,2017,3,21382,209896,210743,197581,2079064082,208031768,2008777,776,1.02,0.99,0.97,0.97,0.95,1.02,1.01,0.97,330,1.6,4450,2.2,5411,2.6,-9222,-4.5,-13041551,-0.6,-1360928,-0.6,-824616,-29.1,-6,-0.8
Irma,12071,0,10,70,0,2017,4,21983,256729,263404,266067,2972408516,211119969,2164584,872,1,1,1,1,1,1,1,1,369,1.7,4723,1.9,5722,2.2,5930,2.3,159943241,5.7,6842719,3.3,-702334,-24.5,29,3.4
Irma,12071,1,10,71,0,2017,4,55,2306,2301,2371,39436937,0,0,1304,0.42,0.47,0.46,0.46,0.48,0,0,1.05,1,1.9,-212,-8.4,-210,-8.4,-217,-8.4,-4239728,-9.7,0,0,0,0,-19,-1.4
Irma,12071,2,10,71,0,2017,4,71,5347,5392,5367,59574415,0,0,854,0.46,0.65,0.64,0.63,0.61,0,0,0.96,1,1.4,1217,29.5,1240,29.9,1217,29.3,13477687,29.2,0,0,0,0,-2,-0.2
Irma,12071,3,10,71,0,2017,4,53,34653,34533,34406,486370218,756957,1135,1083,0.14,1.36,1.32,1.31,1.9,0.18,0.1,1.43,-3,-5.4,684,2,299,0.9,-554,-1.6,21942191,4.7,-119519,-13.6,-914,-44.6,44,4.2
Irma,12071,5,10,71,0,2017,4,21804,214423,221178,223923,2387026946,210363012,2163449,835,1.02,0.98,0.99,0.99,0.94,1.03,1.01,0.95,370,1.7,3034,1.4,4393,2,5484,2.5,128763091,5.7,6962238,3.4,-701420,-24.5,29,3.6
